114	2400	LM_VIEW_INVISIBLE
115	2401	LM_VIEW_INVISIBLE_2
116	2402	LM_VIEW_LINE_ON
117	2403	LM_VIEW_INCREASE_FRAME
118	2404	LM_VIEW_ANIMATION
119	2405	LM_VIEW_SILVER_POW
120	2406	LM_VIEW_POW
121	2407	LM_VIEW_512HEIGHT_BG
122	2415	LM_VIEW_TRANSLUCENT
123	2408	LM_VIEW_TILE_GRID
124	2409	LM_VIEW_CDM16
125	2440	LM_VIEW_ZOOM
126	2446	LM_VIEW_ZOOM_TOGGLE
127	2447	LM_VIEW_ZOOM_DEFAULT
128	2448	LM_VIEW_ZOOM_PLUS
129	2449	LM_VIEW_ZOOM_MINUS
130	2444	LM_VIEW_ZOOM_FILTER
131	240B	LM_VIEW_HAVE_STAR
132	240C	LM_VIEW_TIME_100
133	240D	LM_VIEW_5YOSHI_COINS
134	240E	LM_VIEW_RESET_ANIMATION
135	2330	LM_VIEW_ADD_OBJECT
136	2331	LM_VIEW_ADD_SPRITE
137	232A	LM_VIEW_8x8
138	232F	LM_VIEW_16x16
139	2332	LM_VIEW_BACK
140	232D	LM_VIEW_OVERWORLD
141	232E	LM_VIEW_PALETTES
142	2333	LM_VIEW_LAYER_3_EDITOR
143	2330	LM_VIEW_OBJECT
144	2331	LM_VIEW_SPRITE
145	2328	LM_VIEW_ADD_OBJECT_OLD
146	2329	LM_VIEW_ADD_SPRITE_OLD
147	232B	LM_VIEW_16x16_OLD
148	232C	LM_VIEW_BACK_OLD
149	251E	LM_LEVEL_SUPER_BYPASS
150	251F	LM_LEVEL_SUPER_BYPASS2
151	2520	LM_LEVEL_BYPASS_FG
152	2521	LM_LEVEL_BYPASS_SP
153	2522	LM_LEVEL_BYPASS_MUSIC
154	2523	LM_LEVEL_EXITS
155	2524	LM_LEVEL_ENTRANCE
156	2525	LM_LEVEL_ENTRANCE2
157	2526	LM_LEVEL_SCAN_EXITS
158	2527	LM_LEVEL_BG
159	2529	LM_LEVEL_GRAPHICS
160	252A	LM_LEVEL_PROPERTIES
161	252B	LM_LEVEL_OTHER
162	252B	LM_LEVEL_LAYER12_SETTINGS
163	252C	LM_LEVEL_SPRITES
164	252D	LM_LEVEL_EXTEND_ANI
165	252E	LM_LEVEL_BG_MAP16
166	252F	LM_LEVEL_BG_OFFSET
167	2530	LM_LEVEL_EX20_LEVEL
168	2531	LM_LEVEL_EX20_GLOBAL
